iter	Passed	Remaining
0	49	49905
1	50	25429
2	52	17369
3	53	13227
4	53	10732
5	54	9076
6	55	7877
7	56	6979
8	57	6281
9	57	5729
10	58	5275
11	59	4900
12	60	4576
13	61	4307
14	61	4065
15	62	3858
16	63	3671
17	64	3502
18	64	3354
19	66	3256
20	67	3138
21	68	3033
22	69	2932
23	69	2840
24	70	2759
25	71	2690
26	73	2648
27	75	2615
28	76	2573
29	78	2530
30	79	2484
31	80	2429
32	81	2378
33	82	2330
34	82	2284
35	83	2242
36	84	2201
37	85	2161
38	86	2124
39	87	2090
40	87	2056
41	88	2024
42	89	1992
43	90	1963
44	91	1934
45	92	1908
46	92	1882
47	93	1857
48	94	1833
49	95	1810
50	96	1791
51	97	1772
52	98	1753
53	99	1734
54	100	1721
55	101	1704
56	101	1687
57	102	1670
58	103	1655
59	104	1640
60	105	1625
61	106	1610
62	107	1596
63	108	1581
64	109	1568
65	109	1554
66	110	1544
67	111	1532
68	112	1520
69	113	1508
70	114	1495
71	115	1485
72	116	1475
73	117	1465
74	117	1455
75	118	1445
76	119	1435
77	120	1425
78	121	1416
79	122	1407
80	123	1398
81	124	1389
82	124	1376
83	125	1367
84	126	1358
85	127	1350
86	127	1341
87	129	1344
88	130	1336
89	131	1328
90	132	1319
91	132	1310
92	133	1301
93	134	1294
94	135	1286
95	135	1278
96	136	1270
97	137	1262
98	137	1255
99	138	1249
100	140	1246
101	140	1239
102	141	1232
103	142	1225
104	142	1218
105	143	1211
106	144	1205
107	145	1199
108	145	1193
109	146	1187
110	148	1189
111	149	1185
112	150	1180
113	151	1174
114	151	1168
115	152	1163
116	153	1157
117	154	1152
118	154	1147
119	155	1141
120	156	1136
121	156	1129
122	157	1124
123	158	1119
124	159	1114
125	160	1111
126	160	1105
127	161	1101
128	162	1098
129	163	1093
130	164	1089
131	164	1084
132	165	1080
133	166	1075
134	167	1071
135	167	1066
136	168	1062
137	169	1060
138	170	1058
139	171	1055
140	172	1051
141	173	1046
142	174	1042
143	174	1038
144	175	1034
145	176	1030
146	177	1027
147	177	1023
148	178	1020
149	179	1016
150	180	1012
151	180	1008
152	181	1005
153	182	1001
154	183	998
155	184	995
156	184	992
157	185	988
158	186	987
159	187	984
160	187	979
161	188	976
162	189	972
163	190	969
164	190	966
165	191	963
166	192	960
167	193	956
168	193	953
169	194	951
170	195	948
171	196	946
172	197	943
173	198	940
174	198	937
175	199	934
176	200	931
177	201	928
178	201	925
179	202	923
180	203	921
181	204	918
182	205	915
183	205	912
184	206	910
185	207	907
186	208	905
187	208	902
188	209	899
189	210	897
190	211	895
191	212	893
192	213	890
193	213	888
194	214	885
195	215	882
196	215	880
197	216	877
198	217	874
199	218	872
200	218	870
201	219	867
202	220	864
203	221	862
204	222	861
205	222	858
206	223	856
207	224	854
208	225	852
209	225	850
210	226	847
211	227	845
212	228	842
213	228	840
214	229	838
215	230	835
216	230	833
217	231	830
218	232	828
219	233	826
220	233	824
221	234	821
222	235	819
223	235	817
224	238	821
225	240	822
226	240	820
227	241	818
228	242	816
229	243	813
230	244	812
231	245	811
232	245	809
233	246	807
234	247	805
235	248	803
236	248	801
237	249	799
238	250	797
239	251	795
240	251	793
241	252	791
242	253	789
243	254	789
244	255	787
245	256	785
246	257	783
247	257	781
248	258	779
249	259	777
250	260	775
251	260	773
252	261	772
253	262	770
254	263	768
255	263	766
256	264	764
257	265	762
258	265	760
259	266	758
260	267	756
261	268	754
262	268	753
263	273	762
264	274	761
265	275	759
266	275	757
267	276	755
268	277	753
269	277	751
270	278	749
271	279	747
272	280	746
273	280	744
274	281	742
275	282	740
276	283	740
277	284	739
278	285	738
279	286	736
280	287	734
281	287	733
282	288	731
283	289	729
284	290	727
285	290	726
286	291	724
287	292	722
288	293	720
289	293	719
290	294	717
291	295	716
292	296	714
293	296	712
294	297	711
295	298	709
296	299	707
297	299	706
298	300	704
299	301	702
300	302	701
301	302	699
302	303	698
303	304	696
304	304	694
305	305	693
306	306	691
307	307	689
308	307	688
309	308	686
310	309	685
311	310	684
312	311	682
313	311	681
314	312	679
315	313	678
316	314	676
317	314	675
318	315	673
319	316	672
320	317	670
321	317	669
322	318	667
323	319	666
324	320	665
325	321	665
326	322	664
327	323	663
328	324	662
329	325	661
330	326	660
331	327	658
332	328	657
333	328	655
334	329	654
335	330	652
336	330	650
337	331	649
338	332	647
339	332	646
340	333	644
341	334	643
342	335	641
343	335	640
344	336	639
345	337	637
346	337	636
347	339	635
348	339	633
349	340	632
350	341	631
351	342	630
352	343	628
353	343	627
354	344	626
355	345	625
356	346	623
357	347	622
358	347	621
359	348	619
360	349	618
361	350	617
362	350	615
363	351	614
364	352	613
365	353	612
366	354	611
367	355	610
368	356	609
369	357	608
370	357	606
371	358	605
372	359	604
373	360	603
374	361	602
375	362	600
376	362	599
377	363	598
378	364	596
379	365	595
380	365	594
381	366	593
382	367	591
383	368	590
384	370	592
385	371	590
386	372	589
387	372	588
388	373	586
389	374	585
390	375	584
391	379	589
392	381	589
393	383	589
394	384	588
395	384	586
396	385	585
397	386	584
398	387	583
399	387	581
400	389	581
401	390	580
402	391	579
403	391	578
404	392	577
405	394	576
406	395	575
407	395	574
408	396	573
409	397	572
410	398	570
411	399	569
412	400	568
413	400	567
414	401	566
415	402	564
416	403	563
417	403	562
418	404	561
419	405	560
420	406	558
421	407	557
422	408	556
423	408	555
424	409	554
425	410	553
426	411	551
427	412	550
428	412	549
429	413	548
430	414	547
431	415	545
432	415	544
433	416	543
434	417	542
435	418	541
436	419	539
437	419	538
438	420	537
439	421	536
440	422	535
441	423	534
442	423	532
443	424	531
444	425	530
445	426	529
446	427	528
447	428	527
448	428	526
449	429	525
450	430	524
451	431	523
452	432	522
453	433	520
454	433	519
455	434	518
456	435	517
457	436	516
458	437	515
459	438	514
460	439	513
461	442	515
462	443	514
463	444	513
464	445	512
465	446	511
466	447	510
467	448	509
468	448	508
469	449	507
470	450	505
471	451	504
472	451	503
473	452	502
474	453	501
475	454	499
476	454	498
477	455	497
478	456	496
479	457	495
480	457	494
481	458	492
482	459	491
483	460	490
484	461	489
485	462	488
486	462	487
487	463	486
488	464	485
489	465	484
490	465	482
491	466	481
492	467	480
493	468	479
494	469	478
495	470	477
496	470	476
497	471	475
498	472	474
499	473	473
500	474	472
501	474	471
502	475	469
503	476	469
504	477	468
505	479	467
506	479	466
507	480	465
508	481	464
509	482	463
510	482	462
511	483	461
512	484	460
513	485	459
514	486	458
515	487	457
516	488	456
517	489	455
518	490	454
519	491	453
520	492	452
521	493	451
522	494	450
523	494	449
524	495	448
525	496	447
526	497	446
527	498	445
528	498	444
529	499	443
530	500	441
531	501	440
532	502	439
533	503	439
534	503	437
535	504	436
536	505	435
537	506	434
538	507	433
539	508	432
540	508	431
541	509	430
542	510	429
543	511	428
544	512	427
545	513	427
546	514	426
547	515	425
548	516	424
549	517	423
550	518	422
551	519	421
552	519	420
553	520	419
554	521	418
555	522	417
556	523	416
557	523	415
558	524	413
559	525	412
560	526	411
561	526	410
562	527	409
563	528	408
564	529	407
565	529	406
566	531	405
567	532	404
568	533	403
569	533	402
570	535	402
571	536	401
572	537	400
573	538	399
574	539	398
575	540	397
576	540	396
577	541	395
578	542	394
579	542	393
580	546	394
581	547	393
582	548	392
583	548	390
584	549	389
585	550	388
586	550	387
587	551	386
588	552	385
589	553	384
590	554	383
591	554	382
592	555	381
593	556	380
594	556	379
595	557	377
596	558	376
597	559	376
598	560	374
599	561	374
600	562	373
601	562	372
602	563	371
603	564	370
604	565	368
605	565	367
606	566	366
607	567	365
608	568	364
609	568	363
610	569	362
611	570	361
612	571	360
613	572	359
614	572	358
615	573	357
616	574	356
617	575	355
618	575	354
619	576	353
620	577	352
621	578	351
622	579	350
623	579	349
624	580	348
625	581	347
626	582	346
627	582	345
628	583	344
629	584	343
630	585	342
631	586	341
632	586	340
633	587	339
634	588	338
635	589	337
636	590	336
637	590	335
638	591	334
639	592	333
640	593	332
641	593	331
642	594	330
643	595	329
644	596	328
645	596	327
646	597	325
647	598	324
648	598	323
649	599	322
650	600	321
651	601	321
652	603	320
653	604	319
654	605	318
655	605	317
656	606	316
657	607	315
658	608	314
659	608	313
660	609	312
661	610	311
662	611	310
663	612	309
664	612	308
665	613	307
666	614	306
667	615	306
668	616	305
669	617	303
670	617	302
671	618	301
672	619	300
673	620	299
674	620	298
675	621	297
676	622	296
677	623	296
678	624	295
679	624	294
680	625	293
681	626	292
682	626	291
683	627	290
684	628	289
685	629	288
686	630	287
687	631	286
688	631	285
689	632	284
690	633	283
691	634	282
692	635	281
693	635	280
694	636	279
695	637	278
696	638	277
697	638	276
698	639	275
699	640	274
700	640	273
701	641	272
702	642	271
703	643	270
704	643	269
705	644	268
706	645	267
707	646	266
708	647	265
709	647	264
710	648	263
711	649	262
712	650	261
713	651	260
714	651	259
715	653	259
716	653	258
717	654	257
718	655	256
719	656	255
720	657	254
721	657	253
722	658	252
723	659	251
724	660	250
725	661	249
726	662	248
727	662	247
728	663	246
729	664	245
730	664	244
731	665	243
732	666	242
733	667	241
734	668	240
735	668	239
736	669	238
737	670	237
738	671	237
739	671	236
740	672	235
741	673	234
742	674	233
743	675	232
744	675	231
745	676	230
746	677	229
747	677	228
748	678	227
749	679	226
750	679	225
751	680	224
752	681	223
753	682	222
754	683	221
755	684	220
756	684	219
757	685	218
758	686	217
759	687	217
760	687	216
761	688	215
762	689	214
763	690	213
764	691	212
765	691	211
766	692	210
767	693	209
768	693	208
769	694	207
770	695	206
771	696	205
772	696	204
773	698	203
774	698	202
775	699	201
776	700	201
777	701	200
778	701	199
779	702	198
780	703	197
781	704	196
782	705	195
783	706	194
784	706	193
785	707	192
786	708	191
787	708	190
788	709	189
789	710	188
790	711	188
791	712	187
792	713	186
793	713	185
794	714	184
795	715	183
796	716	182
797	717	181
798	718	180
799	719	179
800	721	179
801	722	178
802	723	177
803	724	176
804	724	175
805	725	174
806	726	173
807	727	172
808	728	172
809	729	171
810	730	170
811	731	169
812	732	168
813	733	167
814	733	166
815	734	165
